,id,path,question,a,b,c,d,answer
40,train_0041,train/train_0041.jpg,Which of the following is the object that you see in the image?,Electric Switch Button,Car tires.,Cell phone cases.,Coffee Machine,a
41,train_0042,train/train_0042.jpg,What's on the memorial tower that you see here?,Freedom.,Happiness.,Peace,Prosperousness,d
42,train_0043,train/train_0043.jpg,What's the main stadium in this picture?,Tennis.,Basketball.,Baseball,FOOOTS,d
43,train_0044,train/train_0044.jpg,What is the natural landscape that you see in this picture?,Sea and beach.,A sunrise from the top of the mountain.,A park with a lake and a tree.,Sand dunes in the desert.,c
44,train_0045,train/train_0045.jpg,What's the color of the leaves of the trees in this picture?,Yellow,Red,Green,Brown,a
45,train_0046,train/train_0046.jpg,What is the flower that you see in this picture?,Roses,Sunflowers,The cherry blossom,Tulip,c
46,train_0047,train/train_0047.jpg,What's the activity that the white belly in the image is doing in the water?,Swim,Race,Tourism Ram,Fishing,c
47,train_0048,train/train_0048.jpg,What is this food?,Pockets.,Kimchichichichig,Bibimbop,Oconomiyaki,d
48,train_0049,train/train_0049.jpg,What is the natural landscape that you see in this picture?,Sea and beach.,Forest,Mountains,Desert,a
49,train_0050,train/train_0050.jpg,What is the main ingredient of this food?,The pizza and the sausage.,hamburgers and fries.,French fries and sausages.,Chicken and fries.,c
50,train_0051,train/train_0051.jpg,What is the tree that you see here?,Bank Tree,The cherry tree,pine tree,Maple trees,b
51,train_0052,train/train_0052.jpg,What is the natural phenomenon that you see in this picture?,Lightning,Fog,Rainbow,Snow,c
52,train_0053,train/train_0053.jpg,Where is the most likely place that people are in this picture?,Skiing,The beach.,Museum,The cherry blossom festival.,d
53,train_0054,train/train_0054.jpg,What's the most appropriate reason for the blockage in this picture?,I'm getting ready for the event.,There was a traffic accident.,It's raining.,We're working on the road.,c
54,train_0055,train/train_0055.jpg,Where did this picture come from?,The mall.,The movie theater.,Library,Restaurants,c
55,train_0056,train/train_0056.jpg,What is the state of this wristwatch?,The clock line is down.,The battery is fully charged.,It's showing time.,The screen's off.,d
56,train_0057,train/train_0057.jpg,What's the place where the puppets are located in the image?,School yard.,The playground.,The entrance to the mall.,The garbage dump.,d
57,train_0058,train/train_0058.jpg,What's the computer device that you see in this picture?,Monitor,Printer,Keyboard,Mouse,c
58,train_0059,train/train_0059.jpg,What is the food in this picture?,The beef.,Kimchichichichig,Choake.,Synchronising folder,d
59,train_0060,train/train_0060.jpg,What's the use of the stuff in this picture?,A fruit-shearing knife.,Chopsticks,Head massage,"Oh, my God.",d
60,train_0061,train/train_0061.jpg,What does this piece of snow look like?,Rabbit.,Puppy,Cat.,duck,d
61,train_0062,train/train_0062.jpg,What's the color usually used in this image?,Solid Blue,Bright and diverse primary colors,Grey and Patelton.,Black and White,b
62,train_0063,train/train_0063.jpg,What does the color change in this picture represent?,Insults with distinct forms,Various Colors Compatibility,The gradual change from brightness to darkness.,Bright Color Contrast,c
63,train_0064,train/train_0064.jpg,What's the color represented in these glasses lenses with this animal-shaped statue?,"Blue, yellow, orange.","Yellow, Black, White","Green, white, pink.","Red, white, blue.",c
64,train_0065,train/train_0065.jpg,What can't you see in this picture?,Cars,Monkey doll.,Cat.,The duck doll.,c
65,train_0066,train/train_0066.jpg,What is the best explanation of the river and the landscape of the city that you see in this picture?,"A walkway by the river, a view of a high-rise apartment.",Beaches and resorts.,Small villages and lakes in the mountains.,Rural farms and rice fields.,a
66,train_0067,train/train_0067.jpg,What are people usually doing in this picture?,I'm walking.,I'm running.,I'm riding my bike.,I'm fishing.,a
67,train_0068,train/train_0068.jpg,"What's the tea on this road, the white starvation and the silver modern car?",Gia EV6 and modern-day Sonata,Kia K5 and the modern Avante.,Kia Morning and the modern cheap Tape.,I'm sorry. I'm sorry.,a
68,train_0069,train/train_0069.jpg,What is the bird that you see in the picture?,That's right.,Pigeons,duck,Sparrows,a
69,train_0070,train/train_0070.jpg,What is the representation of this picture?,Shark.,Dolphins,Turtle,Whale,b
70,train_0071,train/train_0071.jpg,Where is the cat sitting in this picture?,Little steps next to the building.,On a parked car.,In the middle of the road.,Center of intersections,a
71,train_0072,train/train_0072.jpg,What's the quality of the bridge rails that you see in this picture?,Tree,BALIEL,Iron,Concrete,b
72,train_0073,train/train_0073.jpg,Where did this picture come from?,This is a picture from a rest stop next to the highway.,"This is a picture of him in the bus, out of the window.",This is a picture taken at the bus stop.,This is a picture of a mirror inside the car.,b
73,train_0074,train/train_0074.jpg,Where are the open tables and chairs in the picture?,Home yard,School yard.,Park bench.,The outside terraces of the cafe.,d
74,train_0075,train/train_0075.jpg,What's the main color of the work site that you see in this picture?,Red,Yellow,Green,Blue,b
75,train_0076,train/train_0076.jpg,What is the square object that you see in this picture?,Electric Box,Powder,Garbage cans,The stone bench.,d
76,train_0077,train/train_0077.jpg,What is the flower that you see here?,Sunflowers,Rose.,Tulip,Daisy.,d
77,train_0078,train/train_0078.jpg,What kind of flowers do the trees that you see in this picture?,The cherry blossom,Sunflowers,Tulip,Roses,a
78,train_0079,train/train_0079.jpg,What is the tree that you see here?,Bamboo,pine tree,Maple trees,The cherry tree,d
79,train_0080,train/train_0080.jpg,What is this character?,Shen and Chihiro are missing.,Miyazaki Hayao.,Naruto,Toto your neighbor.,d
80,train_0081,train/train_0081.jpg,Where is the cat lying in the picture?,Near factories and workshops.,Café,In the house.,Park,a
81,train_0082,train/train_0082.jpg,What can't you see in this picture?,Tree,Slide,Man,Snowman,c
82,train_0083,train/train_0083.jpg,What's the season for this picture?,fall,Winter,Summer,Spring,b
83,train_0084,train/train_0084.jpg,What kind of big fish do you see here?,Dolphins,rays,Shark.,Whale,c
84,train_0085,train/train_0085.jpg,What's the flag on the intersection of this picture?,U.S. flag,South Korean flag,Chinese flag,Japanese flag,b
85,train_0086,train/train_0086.jpg,What is the landscape that you see here?,Sand dunes in the desert.,The beach and the sea.,High-rise buildings in the city.,The natural landscape of mountains and meadows.,d
86,train_0087,train/train_0087.jpg,What's the recommended menu on this whiteboard?,Sashimi Mods,Choake.,Ramon,Bumps.,a
87,train_0088,train/train_0088.jpg,What is the main ingredient of cooking in this picture?,Shrimps,The squid.,Chicken.,The beef.,a
88,train_0089,train/train_0089.jpg,Which of these bottles are used for?,Cosmetic Samples,The drug cure.,Drinks,"Perfume, escal oil.",d
89,train_0090,train/train_0090.jpg,Which one of the sodas in the photo is ice latte?,Both drinks.,Left - Handed Drink,Right Drink,No drink,c
90,train_0091,train/train_0091.jpg,What's the main ingredient of food in this image?,"Eggs, noors, dig.",Chickens and onions.,Kimchi and Tofu,Potatoes and carrots.,a
91,train_0092,train/train_0092.jpg,Who's the superhero in this picture?,Thor.,Captain America.,Iron Man.,Spider-Man.,c
92,train_0093,train/train_0093.jpg,What's the main animal that appears in this image?,Bird,Rabbit.,Cat.,Puppy,d
93,train_0094,train/train_0094.jpg,What is the food in this picture?,Kimchichichichig,Bibimbop,Synchronising folder,The beef.,c
94,train_0095,train/train_0095.jpg,What's on the ice cream in the picture?,Cookie.,A piece of fruit,Ice cream cones,A piece of chocolate,c
95,train_0096,train/train_0096.jpg,When was the sculpture taken in this picture?,It was taken this afternoon.,It was shot at night.,It was shot in the morning.,It's been shot during the day.,b
96,train_0097,train/train_0097.jpg,What's the location of this picture?,Lotde World Tower,Seoul Station,Staryard Library,Koeks Akuarium,c
97,train_0098,train/train_0098.jpg,What's the main ingredient of this food?,A tuna,GEORGE,Salmon,Cantonese,c
98,train_0099,train/train_0099.jpg,What's the use of the space in this picture?,Library,Game Experience,The movie theater.,The music theater.,b
99,train_0100,train/train_0100.jpg,What are the breeds of dogs in the picture?,Beagle,Pomeranian,Poodle,Docsund.,d
100,train_0101,train/train_0101.jpg,What's the main color of the puppy in the picture?,Black and brown,Brown and white.,White and Gray,Yellow and white.,a
101,train_0102,train/train_0102.jpg,What color is the dog in the picture?,Red,Yellow,Pink,Blue,c
102,train_0103,train/train_0103.jpg,What's the main use of the path that you see here?,Bicycle and Walk,On the train line.,Cars only.,Parking lot.,a
103,train_0104,train/train_0104.jpg,What can't you see in this picture?,A crowd of people.,Stairs of water.,Trees by the river.,Mountains and Heavens,a
104,train_0105,train/train_0105.jpg,What's the main officer you see in this picture?,The Field of Non,The Field of Flowers,Teafields,Garden,c
105,train_0106,train/train_0106.jpg,What's the main view of this picture?,Beach.,High-rise buildings in the city center.,A view of rivers and mountains.,Deserts and dunes.,c
106,train_0107,train/train_0107.jpg,What is the tree on either side of the road that you see here?,Metasequoia,Bank Tree,pine tree,The cherry tree,a
107,train_0108,train/train_0108.jpg,What's the location where this picture is taken?,The Stadium,Precar markets,Library,Restaurants,b
108,train_0109,train/train_0109.jpg,What are people usually doing in this picture?,I'm working on it.,I'm watching a movie.,I'm studying.,I'm eating.,d
109,train_0110,train/train_0110.jpg,Where do people spend most of their time in this picture?,City Street,Mountains,Park,Beaches,d
110,train_0111,train/train_0111.jpg,What's the place that you can see in this picture?,Café,Library,Bar,The movie theater.,c
111,train_0112,train/train_0112.jpg,Where does this picture look?,The cruise ship on the lake.,"Mountains, summit.",The park walkway.,City Street,a
112,train_0113,train/train_0113.jpg,What is it that sits on the statue that you see in this picture?,Man,Cars,Bird,Tree,c
113,train_0114,train/train_0114.jpg,What's the main purpose of the stone towers that you see in this picture?,Stacking a stone tower to celebrate and fulfill wishes.,Job to sort stones,A sculpture for an art exhibition.,Stacking stones for use in building materials,a
114,train_0115,train/train_0115.jpg,What is this food?,Tattoos,Kimbab.,Fuck you.,Bibimbop,b
115,train_0116,train/train_0116.jpg,What is the natural phenomenon that is usually seen in this picture?,Clouds,Tree,River,Mountains,a
116,train_0117,train/train_0117.jpg,What's the most prominent color of the tree in this picture?,Yellow,Red,Orange,Green,c
117,train_0118,train/train_0118.jpg,What is the character in the picture holding in his hand?,Pink Sticky ice powder,Stainless Mug Cup,Green plants.,A wooden chair.,a
118,train_0119,train/train_0119.jpg,What is the drink that you see in this image?,Drinks of soda,Milk,Juice,Coffee.,d
119,train_0120,train/train_0120.jpg,What's the little gray object next to the cat?,A cat toy ball.,Little mouse doll.,Remote,Cat food.,b
120,train_0121,train/train_0121.jpg,What's the color of the straw in the picture?,Yellow,Red,Green,Blue,b
121,train_0122,train/train_0122.jpg,What is the food that you see here?,"Oh, my God.",Chicken Garvey,Three-fold weight.,The beef.,a
122,train_0123,train/train_0123.jpg,What is the food in this picture?,Pig Shell,Garvey.,Stimulation pig ribs,Three-fold weight.,c
123,train_0124,train/train_0124.jpg,What is the food that people are baking in this picture?,Gokuma,Potatoes.,Corn.,Mammelo.,d
124,train_0125,train/train_0125.jpg,What's the drink that the person in the picture has?,smoothy.,Ice Coffee,Isty.,Lemon Aid,b
125,train_0126,train/train_0126.jpg,What's the convenience brand that you see in this picture?,Roson,Family Mart,Seven Eleven.,Mini-Stock,b
126,train_0127,train/train_0127.jpg,What's floating in the water in this picture?,Paperbae,The candle.,The plate.,Flowers,c
127,train_0128,train/train_0128.jpg,What is something that you can't see in this picture?,Mask,A cup.,Computer Mouse,Smartphone,d
128,train_0129,train/train_0129.jpg,What are the modes of transportation that are forbidden to park in this picture?,Kickboard,Cars,Bicycle,Motorcycle,a
129,train_0130,train/train_0130.jpg,What are the animals that you see here?,Felicine,Penguin.,Seagulls,duck,b
130,train_0131,train/train_0131.jpg,What is the drink shown in this picture?,Juice,Milk,Coffee.,Tea,c
131,train_0132,train/train_0132.jpg,What's the name of the coffee shop in the building in this picture?,The Venda,Stabbucks.,Tumplex,Idi. Coffee.,d
132,train_0133,train/train_0133.jpg,What's the location of the lights in this picture?,Under the tree.,Center of the lawn,By the news block.,Above the stone wall,b
133,train_0134,train/train_0134.jpg,What's the position of the shoe repair store in this picture?,The roof of the building.,"Along the Way, in the Midst of India",In the middle of the car.,In the park.,b
134,train_0135,train/train_0135.jpg,What's the main use of the device you see in this image?,No-one locker to store the goods.,Autoseller,A microwave that cooks food.,Kiosk for Internet Search,a
135,train_0136,train/train_0136.jpg,What's the name of the food in this picture?,Songsongs,Fuck you.,Hodg,Mandou,a
136,train_0137,train/train_0137.jpg,What is Korean traditional food in this picture?,Chicken Nuggets.,Kimchi.,Spam,Mandou,b
137,train_0138,train/train_0138.jpg,What is it that isn't on the table in the picture?,Wasps and ice cream.,Ice coffee.,Pizza.,Nakcha lat.,c
138,train_0139,train/train_0139.jpg,What's the device attached to the inside of the vehicle in this picture?,Parking sensor,Auto Radio,Black Box,Substance,c
139,train_0140,train/train_0140.jpg,What's the fish circuit of this food?,Pockets.,Kim Chick.,The marinated chicken's feet.,Fish Celebrations,d
140,train_0141,train/train_0141.jpg,What's the main ingredient of this food?,Pizza.,Steak.,SUDDEN,Chicken.,d
141,train_0142,train/train_0142.jpg,What is this food?,Roasted fish,Steak.,A fried chicken.,Bibimbop,a
142,train_0143,train/train_0143.jpg,What is it that isn't usually on the food that you see here?,Papa.,Diarrhea,Glimps,Sang-su,c
143,train_0144,train/train_0144.jpg,What's the character doing?,It's leaning against the wall.,I'm looking into something.,I'm using my cell phone.,We're crossing the street.,b
144,train_0145,train/train_0145.jpg,What are the main features of the building that you see here?,A skyscraper in a tall building forest.,A building with a modern appearance and a light.,The entire mountain house.,Traditional Hanok style building.,b
145,train_0146,train/train_0146.jpg,What's the letter on the yellow door of this building?,HELLO,CLOSED,OPEN,WELCOME,a
146,train_0147,train/train_0147.jpg,What is this picture that people are holding?,Hat.,Book,Olymps,The bag.,c
147,train_0148,train/train_0148.jpg,Where did this picture come from?,Inside the coffee shop.,School hall.,Hospital waiting room.,Library,a
148,train_0149,train/train_0149.jpg,What is the color of the sky in this picture?,Blue,Green,Red,Yellow,a
149,train_0150,train/train_0150.jpg,What do you see in this picture?,The leaves and the blue sky.,City Building,Sea and beach.,Mountains and rivers,a
150,train_0151,train/train_0151.jpg,What's the correct explanation for the view of the river around the river in this picture?,I see the beach and the sand on the river.,"There are mountains around the river, buildings beside the stream.",The city's skyscrapers line the river.,Deserts and dunes are spread around the river.,b
151,train_0152,train/train_0152.jpg,What's the right thing to do with the roof decorations of the traditional architecture that you see here?,Tiger-like decorations.,A school-shaped decoration.,Dragon-shaped decorations,Fish-shaped decorations,d
152,train_0153,train/train_0153.jpg,What are the sports facilities that you see in this picture?,The basketball goal.,A football goal.,Badge net.,Baseball Homeplat,b
153,train_0154,train/train_0154.jpg,What are the objects that you see in the sky in this picture?,New Moon,Stars,Rainbow,Sun,a
154,train_0155,train/train_0155.jpg,Where is the tower in this picture?,cod,Pusan,Glossian,Seoul,d
155,train_0156,train/train_0156.jpg,What's the parking point for the white car in this picture?,I'm not in the parking lot.,Crosswalks,Above India,I'm not in the lane.,b
156,train_0157,train/train_0157.jpg,What is the blue column that you see in this picture trying to prevent?,Preventing garbage speculation.,Road post,We're trying to stop the traffic from entering India.,Bicycle parking space,c
157,train_0158,train/train_0158.jpg,What's the color of the two cars that you see in this picture?,Black and White,Blue and green.,Gray and Orange,Red and yellow.,a
158,train_0159,train/train_0159.jpg,What is the furniture that you see in the picture made of?,Metal,Tree,Plastic,Glass,b
159,train_0160,train/train_0160.jpg,How many chairs are around the circular table in the picture?,Four.,Three.,Two.,Five.,a
160,train_0161,train/train_0161.jpg,What is it that you can't see in the space in the picture?,A chair.,Computer,Brick,Table,b
161,train_0162,train/train_0162.jpg,What is this picture that you don't see on your desk?,Monitor,Book,Keyboard,Laptop,b
162,train_0163,train/train_0163.jpg,What are the warning signs on the electrical equipment in the photo?,"Fire danger, fire protection.","Fall back, men. Set up the lightning.","Attention, insulation gloves.",High-pressure risk. No access.,d
163,train_0164,train/train_0164.jpg,What are the places where people are waiting in line?,Pharmaceutical,The dentist.,A beef dinner shop,Philates Center.,c
164,train_0165,train/train_0165.jpg,What is it that is not the character of the city that you see in this picture?,I see blue skies and clouds.,Various buildings are clustered together.,A natural landscape of mountains and trees.,There's a lot of high-rise buildings.,d
165,train_0166,train/train_0166.jpg,What do you think this place is?,Traditional village of Hanok,Outdoor music concerts,Tourism based on caves.,Inside the Museum of Modern Art,c
166,train_0167,train/train_0167.jpg,What is the place where people gather in this picture?,A typical house,Cave theme park,Inside the mall.,Park Stadium,b
167,train_0168,train/train_0168.jpg,What's the use of this place?,Homes,Museum,Theme Park,Museum of Art.,c
168,train_0169,train/train_0169.jpg,What are the animals that you see here?,hamster.,Cat.,Rabbit.,Puppy,d
169,train_0170,train/train_0170.jpg,What's the dog bit in the picture?,Green paper,Puppies toy.,Newspaper,Food Package,a
170,train_0171,train/train_0171.jpg,What color is the cat in the picture?,Blue and White,Yellow and green.,Red and Black,Pink and Gray,c
171,train_0172,train/train_0172.jpg,What is the animal in the picture?,Cat.,Puppy,hamster.,Rabbit.,a
172,train_0173,train/train_0173.jpg,What are the green plants that you see in this image?,Kyle.,CYCLE,Broccoli,Sang-su,c
173,train_0174,train/train_0174.jpg,What's the main color of the cat in the picture?,Gray and Black,White and Orange,Black and White,Brown and white.,b
174,train_0175,train/train_0175.jpg,What does the big balloon character in the picture represent?,Santa Claus,Rabbit.,Penguin.,Bear Stone,a
175,train_0176,train/train_0176.jpg,What's the main ingredient of this food?,The Water of Rice,Tattoos,Right-White,Facets of spaghetti,c
176,train_0177,train/train_0177.jpg,What is the food in this picture?,Kimbag and Tee,Chicken and shit.,The pizza and the salad.,The beef and the rice.,b
177,train_0178,train/train_0178.jpg,What are the marks on the nails in the picture?,Clown,Black dot pattern,Animal pattern,Flower Patterns,b
178,train_0179,train/train_0179.jpg,What's the color of the dog's hair in the picture?,Yellow and white.,White and brown.,Black and Gray,Brown and Black,c
179,train_0180,train/train_0180.jpg,What's the brand on the truck that you see in this picture?,Mountain Dew,Coca-Cola,Dr. Pepper.,Pepsi.,d
180,train_0181,train/train_0181.jpg,What's the color of the car that you see here?,Green,Blue,Yellow,Red,d
181,train_0182,train/train_0182.jpg,What's the main purpose of the traffic sign at this intersection?,Let's get the vehicle to stop.,I want to know the name of this road.,Let's take you to the bus lane.,Crosswalks.,a
182,train_0183,train/train_0183.jpg,What furniture is not in this living room?,The couch.,Table,Standlight,Coffee table.,b
183,train_0184,train/train_0184.jpg,What color do the biggest rings in this picture have?,Red,Green,White,Blue,a
184,train_0185,train/train_0185.jpg,Where are the cats sitting in the picture?,Tree floor.,Gray couch.,Blue cushion,A yellow chair,d
185,train_0186,train/train_0186.jpg,What's the place that people visited in this picture?,A temple in Thailand.,A Japanese gentleman.,The palace of China.,A traditional Korean house.,a
186,train_0187,train/train_0187.jpg,Which of the teacups and base sets in this picture has the most colorful colors and patterns?,A teacup with white and gold borders.,A teacup with pink and flower patterns.,A teacup with blue and gold ornaments.,Opaque glass,c
187,train_0188,train/train_0188.jpg,What are the appliances that you see in this picture?,Refrigerator.,Washer,Air conditioner,microwave,b
188,train_0189,train/train_0189.jpg,What's the mode of transport that you see in this picture?,Cars,Bicycle,The boat.,Cable car,d
189,train_0190,train/train_0190.jpg,What is the structure that you see in this picture?,breakwater,A walkway to the beach.,Frequency,A lighthouse,a
190,train_0191,train/train_0191.jpg,Where is this picture taken?,Helm.,Café,The movie theater.,Library,a
191,train_0192,train/train_0192.jpg,What is the food in this image?,Chicken.,Pizza.,hamburgers,Fuck you.,a
192,train_0193,train/train_0193.jpg,What's the food store in this picture?,Lotderia,KFC,McDonald's,Burger King,c
193,train_0194,train/train_0194.jpg,What is the food that people are eating in this picture?,Chobop and Ramin,hamburgers and fries.,The pizza and the pasta.,Three-fold weights and three-tips.,d
194,train_0195,train/train_0195.jpg,What is the food in this picture?,Chobop and Ramin,hamburgers and fries.,The noodles and the mandou,The pizza and the chicken.,d
195,train_0196,train/train_0196.jpg,What is the building that you see here?,School,Library,Church,Museum,c
196,train_0197,train/train_0197.jpg,What do these statues represent?,Animals,Robot,Pirate,The dwarf.,d
197,train_0198,train/train_0198.jpg,What are the buildings usually decorated with?,Red back.,Blue flower.,Yellow balloon,White flag,a
198,train_0199,train/train_0199.jpg,What's not on this table?,Gum,Tumblr,Computer Mouse,Keyboard,c
199,train_0200,train/train_0200.jpg,What is this thing that you see here?,Printer,Laptop,Multitaff,Smartphone,c
200,train_0201,train/train_0201.jpg,What's the main message on the TV screen?,Message informs us that no input signal is available,Guide us in how to adjust the screen's brightness,Give me the power cable connection status.,Guide by Channel Change Methods,a
201,train_0202,train/train_0202.jpg,What kind of place is this picture showing?,Meeting room,Library,Café,The Stadium,a
202,train_0203,train/train_0203.jpg,Which city is this photograph showing?,Seoul,Jeju.,Pusan,Man-in-law,c
203,train_0204,train/train_0204.jpg,Where is this picture?,Jejudo,Kang-neung,Pusan,Male and female,a
204,train_0205,train/train_0205.jpg,What's the nature of the distance that you see in this picture?,It's a lot of cars.,Factory area.,It's only a walker's distance.,We're on the highway.,c
205,train_0206,train/train_0206.jpg,What time period was the site of this picture?,Evening,Dawn,Night,Daylight,c
206,train_0207,train/train_0207.jpg,What's the name of the tower that you see here?,Fukuoka Tower,Lottfongi Hills Mori Tower.,Skytree,Tokyo Tower,a
207,train_0208,train/train_0208.jpg,What's the color of the car parked on the road in the photo?,Blue,Red,Black,White,d
208,train_0209,train/train_0209.jpg,When's the time zone in which this picture was taken?,Evening,Morning,Night,Daylight,c
209,train_0210,train/train_0210.jpg,What's the use of the place in this picture?,Office,Library,Restaurant kitchen.,Café,d
210,train_0211,train/train_0211.jpg,Which river does the bridge that you see in this picture lie on?,Han River,Floating River,Gold River,British River,a
211,train_0212,train/train_0212.jpg,What's the drink that's usually seen in this picture?,Tea,Wine,Beer.,Coffee.,d
212,train_0213,train/train_0213.jpg,What's the number on this yellow car?,02-345-6789,031-123-4567,010-9999-8888,061-281-1301,d
213,train_0214,train/train_0214.jpg,What is the drink in this picture?,Tea,Drinks of soda,Juice,Ice Coffee,d
214,train_0215,train/train_0215.jpg,What is this store selling?,Food and Drink,Flowers and plants.,Electronic Products,Books and phrases.,b
215,train_0216,train/train_0216.jpg,What is the flower that you see here?,Rose.,Sunflowers,The cherry blossom,Tulip,c
216,train_0217,train/train_0217.jpg,What is the bird in this picture?,Eagle,duck,Pigeons,Egret,d
217,train_0218,train/train_0218.jpg,What's the color of the fruit in this picture?,Yellow,purple,Red,Blue,b
218,train_0219,train/train_0219.jpg,What is the tree at the heart of this picture?,Maple trees,Bank Tree,pine tree,The cherry tree,d
219,train_0220,train/train_0220.jpg,What is the natural landscape that you see in this picture?,Desert,The Plains,Beaches,Sand dunes,d
220,train_0221,train/train_0221.jpg,What's on the black cloth in this picture?,Sandbags,Stone.,Garbage Envelope,Shells,a
221,train_0222,train/train_0222.jpg,What's the name of this building?,Cynduly Sassa Center,The Cultural Center of Cyndury,Cinduri Beach Center,Square Museum,a
222,train_0223,train/train_0223.jpg,What can't you see in this picture?,The Flock,Lake,Mountains,Tree,b
